# Title: Precious Metals in SDSS Quasar Spectra I: Tracking the Evolution 
#        of Strong, 1.5 < z < 4.5 C IV Absorbers with Thousands of Systems  
# Authors: Cooksey K.L., Kao M.M., Simcoe R.A., O'Meara J.M., Prochaska J.X. 
# Table: Sightline Summary
# ================================================================================
# Byte-by-byte Description of file: apj453982t2_mrt.txt
# --------------------------------------------------------------------------------
#    Bytes Format Units  Label    Explanations
# --------------------------------------------------------------------------------
#   1- 14 A14    ---    QSO      Adopted QSO identifier (1)
#  16- 17 I2     h      RAh      Hour of Right Ascension (J2000) (2)
#  19- 20 I2     min    RAm      Minute of Right Ascension (J2000) (2)
#  22- 26 F5.2   s      RAs      Second of Right Ascension (J2000) (2)
#      28 A1     ---    DE-      Sign of the Declination (J2000) (2)
#  29- 30 I2     deg    DEd      Degree of Declination (J2000) (2)
#  32- 33 I2     arcmin DEm      Arcminute of Declination (J2000) (2)
#  35- 38 F4.1   arcsec DEs      Arcsecond of Declination (J2000) (2)
#  40- 45 F6.4   ---    zQSO     QSO redshift (2)
#  47- 51 F5.2   pix-1  <S/N>    Median signal-to-noise (3)
#  53- 54 I2     ---    fBAL     Binary BAL flag (4) 
#  56- 59 F4.2   ---    DelXmax  Maximum co-moving pathlength available (5) 
#  61- 62 I2     ---    Num      Number of candidate C IV doublets
#  64- 64 I1     ---    NumCIV   Number of confirmed C IV doublets
#  66- 70 F5.3   ---    delXCIV  ? Pathlength blocked by NumCIV doublets (5)
# --------------------------------------------------------------------------------
# Note (1): From the spectroscopic modified Julian date, plate, and fiber number.
# Note (2): From the DR7 QSO catalog (Schneider et al. 2010).
# Note (3): In the region searched for CIV.
# Note (4): Indicates which sightlines were considered BALs by at least one 
#           author (4) and which were confirmed by the authors as BALs to 
#          exclude (8).
# Note (5): In the sightline.
# --------------------------------------------------------------------------------
51900-0390-534 00 21 43.29 +01 08 40.2 1.9030 13.52  0 1.29  0 0       
52145-0653-248 00 22 03.82 -11 10 15.1 2.1430  8.10  0 2.04  0 0       
52203-0688-216 00 22 06.05 -01 13 00.4 1.9610 16.35  0 1.28  0 0       
53321-1913-418 00 22 23.29 -09 17 02.5 2.4232  8.31  0 1.43  3 3 0.171 
52233-0753-411 00 22 26.99 +15 55 31.9 3.3094 13.01  0 1.71  0 0       
52203-0688-182 00 22 38.06 -00 10 26.8 1.8431  9.12  0 1.31  0 0       
53321-1913-178 00 22 48.28 -09 57 10.3 2.6288 12.68  0 0.89  2 1 0.052 
52203-0688-468 00 23 06.22 +00 36 21.7 1.7494 12.73  0 1.37  0 0       
52203-0688-500 00 23 08.74 +00 22 39.7 2.0478  4.06  0 2.07  1 1 0.033 
51900-0390-108 00 23 22.71 -00 48 29.3 2.2513  7.18  0 0.76  1 1 0.082 
52203-0688-087 00 23 27.91 -00 52 18.5 2.2312  6.33  0 1.31  2 2 0.087 
52203-0688-149 00 23 29.60 -00 32 19.8 2.3881  8.05  0 0.80  1 0       
53321-1913-124 00 23 32.43 -11 08 20.0 1.7471  6.21  0 1.02  0 0       
51900-0390-559 00 23 37.55 +00 31 27.4 2.4087  8.63  0 1.28  2 2 0.062 
52233-0753-497 00 23 38.42 +15 28 23.2 2.3039 16.77  0 1.16  1 1 0.055 
52929-1088-547 00 23 39.89 +00 33 48.9 1.8634  9.15  0 0.84  0 0       
52233-0753-500 00 23 44.84 +15 13 58.3 2.0032  5.96  0 0.77  0 0       
52233-0753-131 00 23 53.98 +14 08 12.6 2.0840 32.80  0 1.32  0 0       
52145-0653-180 00 23 55.83 -10 30 32.3 2.0312 13.42  0 1.04  1 1 0.057 
52203-0688-146 00 24 03.06 -00 39 08.1 2.4179  6.62  0 2.88  0 0       
51782-0391-290 00 24 11.65 -00 43 48.0 1.7945 21.70  0 1.33  0 0       
52145-0653-444 00 24 11.80 -09 01 11.7 2.4164  9.99  0 2.65  0 0       
53321-1913-500 00 24 13.79 -09 22 11.6 2.2079  8.22  0 0.94  1 0       
52203-0688-452 00 24 22.04 +00 46 10.6 2.0070 10.75  0 1.61  1 0       
52203-0688-519 00 24 25.83 +00 00 36.4 1.7777  8.74  0 1.90  1 0       
52233-0753-149 00 24 37.62 +14 20 25.4 1.7632  7.92  0 1.56  2 0       
52145-0653-538 00 24 39.64 -09 16 00.6 1.7930  8.85  0 1.89  0 0       
52203-0688-103 00 24 42.45 -00 35 30.1 1.7019  4.01  0 2.70  2 1 0.043 
52145-0653-178 00 24 46.77 -10 17 11.1 2.0319  8.04  0 1.21  0 0       
52145-0653-530 00 24 48.07 -09 00 55.1 1.8572  5.08  0 0.62  0 0       
52203-0688-059 00 24 52.59 -00 44 56.1 2.2727 10.41  0 2.11  0 0       
52930-1087-261 00 24 52.96 -00 37 00.0 2.1248 13.02  0 1.31  0 0       
52233-0753-148 00 24 55.49 +14 55 07.3 1.7469  8.29  0 1.81  0 0       
52203-0688-105 00 25 09.66 -00 40 31.0 2.2086  5.41  0 1.29  0 0       
51782-0391-387 00 25 37.29 +00 27 24.3 1.8849 13.25  0 1.37  0 0       
53321-1913-093 00 25 44.61 -10 51 37.6 2.3904 10.11  0 1.13  0 0       
53321-1913-091 00 25 46.93 -10 48 54.4 2.3820 10.66  0 1.61  0 0       
51900-0390-026 00 26 09.07 -00 37 49.3 2.3893  4.52  0 2.92  0 0       
52233-0753-069 00 26 14.69 +14 31 05.2 3.9730  6.64  0 1.34  4 2 0.147 
52233-0753-600 00 26 27.28 +15 24 46.2 3.5900  5.36  0 1.33  2 1 0.037 
52233-0753-591 00 26 36.27 +15 12 47.0 3.2164  9.66  0 0.75  3 1 0.051 
52262-0689-290 00 26 54.07 -00 39 10.6 1.7811  8.04  0 1.45  0 0       
52233-0753-034 00 27 07.16 +14 49 57.5 1.7084 27.06  0 1.37  1 1 0.041 
52262-0689-391 00 27 08.24 +00 26 09.0 1.9182  8.60  0 0.76  2 0       
51782-0391-271 00 27 23.43 -00 16 13.2 1.7138  5.60  0 0.66  0 0       
52262-0689-272 00 27 58.73 -00 19 23.8 3.5049  5.91  0 1.20  2 1 0.043 
52930-1087-457 00 28 04.93 +01 10 40.8 2.6862  6.61  0 2.02  2 0       
51821-0417-353 00 28 14.79 +15 06 05.2 2.0197 11.19  0 1.83  0 0       
52262-0689-251 00 28 16.45 -00 53 06.4 3.4972  5.38  0 1.97  2 2 0.133 
51821-0417-324 00 28 20.38 +15 33 58.6 2.4023 23.77  0 1.56  2 1 0.043 
53321-1913-013 00 28 33.19 -10 44 20.1 2.2656 15.07  0 1.42  1 1 0.031 
52930-1087-533 00 28 45.77 +01 06 48.3 2.4648 13.93  0 1.38  0 0       
52262-0689-259 00 28 53.80 -00 46 37.2 1.7668  4.24  0 1.73  0 0       
51821-0417-389 00 28 56.86 +15 12 31.3 1.8698  5.35  0 1.54  0 0       
52262-0689-362 00 29 06.93 +00 52 27.7 1.8083  6.14  0 1.29  0 0       
