# plate-fiber-mjd z_abs rEW_MgII rEWerr_MgII wlim_Chicago Wobs_MgII grade_chicago, type_chicago, z_qso_dr7 rEW_MgII_chicago rEWerr_MgII_chicago
       484-134-51907 0.769080 4.191444 0.347073 0.150000 4947.055312  C    M 2.227700 4.191444 0.347073
       484-134-51907 0.789480 0.806380 0.098353 0.130000 5004.101872  C    M 2.227700 0.806380 0.098353
       484-601-51907 0.731980 1.886280 0.314669 0.520000 4843.308872  D    M 1.142700 1.886280 0.314669
       484-601-51907 0.897350 1.070967 0.264052 0.520000 5305.749540  C    M 1.142700 1.070967 0.264052
       484-602-51907 1.269170 0.071392 0.016746 0.080000 6345.506988  C    M 1.289900 0.071392 0.016746
        484-26-51907 0.899240 0.931425 0.219035 0.320000 5311.034736 C*    M 1.681400 0.931425 0.219035
       484-519-51907 1.471650 0.771954 0.159812 0.280000 6911.722060  C    M 2.070800 0.771954 0.159812
       484-519-51907 1.474070 1.365766 0.197650 0.280000 6918.489348  C    M 2.070800 1.365766 0.197650
       484-519-51907 1.770390 1.691820 0.362043 0.280000 7747.118596  C    M 2.070800 1.691820 0.362043
       484-519-51907 1.795460 1.200518 0.201040 0.280000 7817.224344  A    M 2.070800 1.200518 0.201040
       484-240-51907 1.478020 0.427357 0.105730 0.240000 6929.535128  D    M 1.686500 0.427357 0.105730
       484-187-51907 1.485060 0.668394 0.111869 0.270000 6949.221784  D    M 1.795300 0.668394 0.111869
       484-187-51907 1.782530 1.685157 0.210600 0.270000 7781.066892  A    M 1.795300 1.685157 0.210600
       484-631-51907 0.530270 1.290622 0.234599 0.310000 4279.247028  C    M 1.629300 1.290622 0.234599
       484-631-51907 1.483000 1.111156 0.182038 0.280000 6943.461200  C    M 1.629300 1.111156 0.182038
       484-626-51907 1.452570 1.045842 0.243418 0.240000 6858.366748  C    M 1.769500 1.045842 0.243418
       484-337-51907 1.463300 0.646693 0.155482 0.200000 6888.372120  D    M 1.654100 0.646693 0.155482
       484-337-51907 1.481580 0.448908 0.109608 0.200000 6939.490312  D    M 1.654100 0.448908 0.109608
         484-4-51907 0.626420 0.671413 0.148793 0.280000 4548.120888  C    M 0.870000 0.671413 0.148793
       484-236-51907 0.581760 1.597587 0.281332 0.240000 4423.233664  C    M 1.894000 1.597587 0.281332
       484-356-51907 0.639780 0.493969 0.112820 0.180000 4585.480792 C*    M 1.799300 0.493969 0.112820
       484-356-51907 1.500910 0.569793 0.126354 0.150000 6993.544724  D    M 1.799300 0.569793 0.126354
       484-155-51907 1.613420 0.601893 0.130863 0.210000 7308.167688  C   MC 1.616100 0.601893 0.130863
      1383-257-53116 0.598810 0.693015 0.117587 0.130000 4470.912284  D    M 2.276300 0.693015 0.117587
      1383-452-53116 1.039220 0.828258 0.173596 0.310000 5702.474808  C    M 3.539600 0.828258 0.173596
      1383-496-53116 0.867500 0.321821 0.072289 0.160000 5222.277000  D    M 1.767000 0.321821 0.072289
      1383-496-53116 0.948930 0.511050 0.092358 0.150000 5449.987852  D    M 1.767000 0.511050 0.092358
      1383-520-53116 1.770370 1.705548 0.384425 0.190000 7747.062668  E    M 1.938300 1.705548 0.384425
      1383-520-53116 1.776600 1.161853 0.223655 0.190000 7764.484240  C    M 1.938300 1.161853 0.223655
      1383-520-53116 1.784250 0.761426 0.185687 0.190000 7785.876700  D    M 1.938300 0.761426 0.185687
      1383-578-53116 1.611340 0.768954 0.156625 0.230000 7302.351176  C    M 1.692000 0.768954 0.156625
      1383-278-53116 0.622650 0.841833 0.109697 0.160000 4537.578460  C    M 1.721500 0.841833 0.109697
       1018-11-52672 1.095110 1.190391 0.277312 0.220000 5858.765604  A    M 1.293000 1.190391 0.277312
       1018-11-52672 1.268830 0.636451 0.094762 0.220000 6344.556212  A    M 1.293000 0.636451 0.094762
      1018-202-52672 1.453570 0.716099 0.161805 0.230000 6861.163148  C    M 2.396800 0.716099 0.161805
       1018-32-52672 1.601260 0.777700 0.184142 0.290000 7274.163464  D    M 4.114200 0.777700 0.184142
       1018-32-52672 1.746420 1.226688 0.271262 0.290000 7680.088888  C    M 4.114200 1.226688 0.271262
       1018-32-52672 1.783580 1.498430 0.264048 0.290000 7784.003112 E*    M 4.114200 1.498430 0.264048
       1018-32-52672 1.991890 2.740742 0.288446 0.480000 8366.521196  B    M 4.114200 2.740742 0.288446
      1018-156-52672 0.480190 1.455219 0.302664 0.390000 4139.203316  D    M 0.583900 1.455219 0.302664
      1018-145-52672 1.859720 2.440798 0.299330 0.250000 7996.921008  C    M 3.194300 2.440798 0.299330
      1018-571-52672 1.505720 0.614195 0.085804 0.160000 7006.995408  C   MC 1.678000 0.614195 0.085804
      1018-608-52672 1.020040 1.519772 0.252965 0.300000 5648.839856  D    M 3.104300 1.519772 0.252965
       744-297-52251 1.844290 1.248466 0.218684 0.170000 7953.772556  D    M 1.983500 1.248466 0.218684
       744-311-52251 1.524030 0.804666 0.123216 0.180000 7058.197492  C    M 2.102000 0.804666 0.123216
       744-311-52251 1.556750 0.261660 0.048499 0.180000 7149.695700  D    M 2.102000 0.261660 0.048499
       744-481-52251 1.680320 1.104346 0.252209 0.210000 7495.246848  D    M 2.519500 1.104346 0.252209
         744-2-52251 0.433160 1.822546 0.332831 0.280000 4007.688624  C    M 1.828100 1.822546 0.332831
         744-2-52251 0.539940 3.513124 0.217541 0.280000 4306.288216  C    M 1.828100 3.513124 0.217541
       744-437-52251 0.980420 0.427687 0.107048 0.280000 5538.046488  D    M 1.262300 0.427687 0.107048
       744-442-52251 1.025940 4.832325 0.395372 0.410000 5665.338616  A   MF 1.027800 4.832325 0.395372
