      0654-492-52146 1.6091   D 1  0.0 0
      0654-081-52146 1.1024   A 1  1.0 1
      0418-332-51817 0.8230   A 1  1.0 1
      0418-323-51817 0.9723   B 1  1.0 1
      0418-336-51817 1.9543   A 1  0.7 1
      0418-336-51817 1.7648   C 1  0.3 0
      0417-565-51821 1.9262   D 1  0.1 0
      0417-565-51821 0.8123   A 1  1.0 1
      0417-615-51821 0.4147   C 1  0.6 1
      0417-615-51821 0.9747   A 1  1.0 1
      0655-358-52162 0.6037   B 1  0.9 1
      0392-392-51793 0.9899   D 1  0.1 0
      0418-277-51817 1.0950   D 1  0.0 0
      0418-277-51817 1.1261   A 1  1.0 1
      0418-277-51817 1.1277   D 1  0.2 0
      0654-106-52146 0.5701  C* 1  0.9 1
      0654-106-52146 1.4384   A 1  1.0 1
      0654-106-52146 0.4614   B 1  0.6 1
      0654-106-52146 1.2894   A 1  1.0 1
      0654-545-52146 1.2249   E 1  0.0 0
      0392-440-51793 0.9920   C 1  0.6 0
      0392-440-51793 1.8252   A 1  1.0 1
      0392-440-51793 1.2258   A 1  1.0 1
      0392-440-51793 0.8637   A 1  0.9 1
      0654-107-52146 1.0675   C 1  0.8 1
      0654-059-52146 1.4813   C 1  0.4 1
      0392-181-51793 0.4809   A 1  1.0 1
      0392-528-51793 0.5782   D 1  0.4 0
      0392-528-51793 1.7696   B 1  0.1 0
      0392-528-51793 1.8398   C 1  0.5 0
      0418-418-51817 1.3763   A 1  1.0 1
      0418-418-51817 0.9774   C 1  0.8 1
      0418-418-51817 1.0556   C 1  0.6 1
      0392-189-51793 1.5055   A 1  1.0 1
      0392-131-51793 1.5379   B 1  0.6 1
      0418-432-51817 1.7116   A 1  1.0 1
      0392-449-51793 0.5632   A 1  1.0 1
      0392-449-51793 0.9380   C 1  0.6 0
      0392-449-51793 0.4625   C 1  0.8 1
      0654-594-52146 0.4850   E 1  0.0 0
      0654-594-52146 0.9508   B 1  1.0 1
      0392-183-51793 1.8108   B 1  0.6 1
      0392-183-51793 1.2383   D 1  0.1 0
      0418-205-51817 0.7285   C 1  0.9 1
      0654-029-52146 1.8798   A 1  1.0 1
      0654-029-52146 0.4333   C 1  0.9 1
      0418-191-51817 2.0131   C 1  0.1 0
      0418-449-51817 2.0183   D 1  0.1 0
      0655-334-52162 1.3872   A 1  1.0 1
      0655-334-52162 1.2187   A 1  0.7 1
      0418-458-51817 0.9150   B 1  0.6 0
      0418-458-51817 1.4482   D 1  0.0 0
      0392-164-51793 0.6276  C* 1  0.8 1
      0655-249-52162 1.1281   C 1  0.5 1
      0655-337-52162 1.3910   D 1  0.1 0
      0655-337-52162 0.8955   A 1  1.0 1
      0392-082-51793 0.9065   A 1  1.0 1
      0655-400-52162 0.9719   A 1  1.0 1
      0655-389-52162 1.9717   C 1  0.2 0
      0655-319-52162 1.0165   C 1  0.5 1
      0655-319-52162 1.8226   D 1  0.0 0
      0655-391-52162 0.4064   C 1  0.6 1
